
EUR_RUB__TOD,D,20150313,64.903,65.293,64.35,64.592,189895000
EUR_RUB__TOM,D,20150313,65.001,65.351,64.213,65.3,288777000
GBPRUB_TOD,D,20150313,92.5,92.5,92.5,92.5,8000
GBPRUB_TOM,D,20150313,91.06,91.31,90.38,91.11,173000
HKDRUB_TOM,D,20150313,7.94,7.94,7.911,7.911,1500000
KZT000000TOM,D,20150313,,,,,
UAH000000TOM,D,20150313,27.71,27.71,27.71,27.71,210000
USD000000TOD,D,20150313,61.115,61.761,60.544,61.1,1554521000
USD000TODTOM,D,20150313,0.0725,0.079,0.069,0.0752,7544700000
USD000UTSTOM,D,20150313,61.362,62.385,60.608,62.249,3858413000
USDRUB_SPT,D,20150313,61.36,61.51,61.36,61.51,830000
USDRUB_TOM1D,D,20150313,,,,,
USDRUB_TOM1M,D,20150313,0.719,0.72,0.719,0.72,14800000
USDRUB_TOM1W,D,20150313,0.166,0.166,0.1575,0.1575,16000000
USDRUB_TOM1Y,D,20150313,,,,,
USDRUB_TOM2M,D,20150313,,,,,
USDRUB_TOM2W,D,20150313,,,,,
USDRUB_TOM3M,D,20150313,2.02,2.06,2.02,2.06,77000000
USDRUB_TOM6M,D,20150313,3.81,3.81,3.75,3.75,3000000
USDRUB_TOM9M,D,20150313,,,,,
BYRRUB_TOD,D,20150316,40.7,41.5,40.7,41.3,917000000
BYRRUB_TOM,D,20150316,,,,,
CNY000000TOD,D,20150316,9.945,9.9509,9.87,9.8935,3149000
